country_code,indicator_code,indicator_name,year,value
ABW,NY.GDP.PCAP.CD,GDP per capita (current US$),2008,28171.9094008501
ABW,NY.GDP.PCAP.CD,GDP per capita (current US$),2007,26736.3089444046
ABW,NY.GDP.PCAP.CD,GDP per capita (current US$),2006,24845.65848362
ABW,NY.GDP.PCAP.CD,GDP per capita (current US$),2005,24171.8371325422
ABW,NY.GDP.PCAP.CD,GDP per capita (current US$),2004,23700.6319899197
ABW,NY.GDP.PCAP.CD,GDP per capita (current US$),2003,21949.4859960868
ABW,NY.GDP.PCAP.CD,GDP per capita (current US$),2002,21307.2482505267
ABW,NY.GDP.PCAP.CD,GDP per capita (current US$),2001,20740.1325828172
ABW,NY.GDP.PCAP.CD,GDP per capita (current US$),2000,20681.0230269625
AUS,NY.GDP.PCAP.CD,GDP per capita (current US$),2024,64609.9865116088
AUS,NY.GDP.PCAP.CD,GDP per capita (current US$),2023,65058.3773146674
AUS,NY.GDP.PCAP.CD,GDP per capita (current US$),2022,65169.5191118657
AUS,NY.GDP.PCAP.CD,GDP per capita (current US$),2021,60758.9044397144
AUS,NY.GDP.PCAP.CD,GDP per capita (current US$),2020,51983.4523666382
AUS,NY.GDP.PCAP.CD,GDP per capita (current US$),2019,55194.7585097428
AUS,NY.GDP.PCAP.CD,GDP per capita (current US$),2018,57410.1737346009
AUS,NY.GDP.PCAP.CD,GDP per capita (current US$),2017,54117.547718609
AUS,NY.GDP.PCAP.CD,GDP per capita (current US$),2016,50084.4440606385
AUS,NY.GDP.PCAP.CD,GDP per capita (current US$),2015,56970.3613028094
AUS,NY.GDP.PCAP.CD,GDP per capita (current US$),2014,62817.2061751737
AUS,NY.GDP.PCAP.CD,GDP per capita (current US$),2013,68476.6788496118
AUS,NY.GDP.PCAP.CD,GDP per capita (current US$),2012,68301.4402512587
AUS,NY.GDP.PCAP.CD,GDP per capita (current US$),2011,62799.3895017032
AUS,NY.GDP.PCAP.CD,GDP per capita (current US$),2010,52313.8939041213
